# Engine name: SSI Liquid - Kerosene
# Sun Jan 21 21:30:38 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.1000    950.0000      0.0000      1.0000      0.0000   1271.8607     20.5883      1.2614      1.1615   1119.7263    185.8674    203.0693      1.6278      1.7785      1.0000 
     1.1000   1000.0000      0.0000      1.0000      0.0000   1275.5292     20.6256      1.2616      1.1614   1120.3337    186.8366    203.8611      1.6354      1.7845      1.0000 
     1.2000     50.0000      0.0000      1.0000      0.0000   1114.3242     18.7847      1.2271      1.1705   1095.7071    107.5158    148.0169      0.9623      1.3248      1.0000 
     1.2000    100.0000      0.0000      1.0000      0.0000   1151.5124     19.0696      1.2368      1.1700   1105.3347    132.8489    163.4928      1.1786      1.4505      1.0000 
     1.2000    150.0000      0.0000      1.0000      0.0000   1174.9712     19.2580      1.2425      1.1698   1110.9408    145.1781    172.1571      1.2815      1.5197      1.0000 
     1.2000    200.0000      0.0000      1.0000      0.0000   1192.3713     19.4019      1.2464      1.1697   1114.8910    153.1353    178.0227      1.3470      1.5659      1.0000 
     1.2000    250.0000      0.0000      1.0000      0.0000   1206.2940     19.5197      1.2493      1.1696   1117.9329    158.9293    182.4053      1.3941      1.6001      1.0000 
     1.2000    300.0000      0.0000      1.0000      0.0000   1217.9418     19.6199      1.2516      1.1695   1120.4005    163.4454    185.8788      1.4306      1.6270      1.0000 
     1.2000    350.0000      0.0000      1.0000      0.0000   1227.9779     19.7075      1.2534      1.1694   1122.4724    167.1236    188.7415      1.4601      1.6490      1.0000 
     1.2000    400.0000      0.0000      1.0000      0.0000   1236.8086     19.7856      1.2549      1.1694   1124.2551    170.2128    191.1674      1.4847      1.6675      1.0000 
     1.2000    450.0000      0.0000      1.0000      0.0000   1244.7019     19.8561      1.2562      1.1693   1125.8176    172.8669    193.2665      1.5058      1.6835      1.0000 
     1.2000    500.0000      0.0000      1.0000      0.0000   1251.8439     19.9205      1.2573      1.1692   1127.2066    175.1875    195.1123      1.5241      1.6975      1.0000 
     1.2000    550.0000      0.0000      1.0000      0.0000   1258.3698     19.9799      1.2582      1.1691   1128.4556    177.2448    196.7566      1.5403      1.7099      1.0000 
     1.2000    600.0000      0.0000      1.0000      0.0000   1264.3807     20.0350      1.2590      1.1690   1129.5893    179.0894    198.2369      1.5548      1.7210      1.0000 
     1.2000    650.0000      0.0000      1.0000      0.0000   1269.9544     20.0865      1.2597      1.1689   1130.6265    180.7588    199.5813      1.5678      1.7311      1.0000 
     1.2000    700.0000      0.0000      1.0000      0.0000   1275.1520     20.1348      1.2603      1.1688   1131.5816    182.2816    200.8115      1.5797      1.7403      1.0000 
     1.2000    750.0000      0.0000      1.0000      0.0000   1280.0226     20.1804      1.2608      1.1687   1132.4662    183.6800    201.9442      1.5906      1.7487      1.0000 
     1.2000    800.0000      0.0000      1.0000      0.0000   1284.6059     20.2235      1.2613      1.1686   1133.2895    184.9716    202.9930      1.6006      1.7566      1.0000 
     1.2000    850.0000      0.0000      1.0000      0.0000   1288.9350     20.2644      1.2618      1.1685   1134.0591    186.1708    203.9689      1.6099      1.7638      1.0000 
     1.2000    900.0000      0.0000      1.0000      0.0000   1293.0372     20.3034      1.2621      1.1684   1134.7813    187.2891    204.8807      1.6185      1.7706      1.0000 
     1.2000    950.0000      0.0000      1.0000      0.0000   1296.9358     20.3407      1.2625      1.1683   1135.4612    188.3360    205.7359      1.6266      1.7769      1.0000 
     1.2000   1000.0000      0.0000      1.0000      0.0000   1300.6505     20.3763      1.2628      1.1682   1136.1033    189.3196    206.5407      1.6342      1.7828      1.0000 
     1.3000     50.0000      0.0000      1.0000      0.0000   1141.8188     18.6777      1.2286      1.1824   1108.9725    108.9249    149.8248      0.9632      1.3249      1.0000 
